attribute_label,corresponding_attribute_label,file_name
source_id,"database::https://www.deq.nc.gov/about/divisions/energy-mineral-and-land-resources/nc-geological-survey",
record_id,NCGS_ID,
name,SITE_NAME,
aliases,,
commodity,COM_MAJOR,
commodity,COM_MINOR,
commodity,COM_TRACE,
latitude,latitude,
longitude,longitude,
crs,"WGS84",
country,"United States",
state_or_province,"North Carolina",
deposit_type_candidate,,
site_type,DEP_TYPE,
uri,"https://www.deq.nc.gov/about/divisions/energy-mineral-and-land-resources/nc-geological-survey",
created_by,"https://minmod.isi.edu/users/umn",
